Map level of detail,Crime Category,Totals and new cats,First aggragation,Incidents values,Date,Crime category selection,Station
Or Tambo Intern Airp,Common assault,Total contact crime,Common assault,25,01/01/2023,Total contact crime,OR TAMBO INTERN AIRP
Randfontein,Common assault,Total contact crime,Common assault,922,01/01/2023,Total contact crime,RANDFONTEIN
Protea,Common assault,Total contact crime,Common assault,652,01/01/2023,Total contact crime,PROTEA
Rietgat,Common assault,Total contact crime,Common assault,560,01/01/2023,Total contact crime,RIETGAT
Vosloorus,Common assault,Total contact crime,Common assault,632,01/01/2023,Total contact crime,VOSLOORUS
Soshanguve,Common assault,Total contact crime,Common assault,606,01/01/2023,Total contact crime,SOSHANGUVE
Ivory Park,Common assault,Total contact crime,Common assault,690,01/01/2023,Total contact crime,IVORY PARK
Silverton,Common assault,Total contact crime,Common assault,508,01/01/2023,Total contact crime,SILVERTON
Roodepoort,Common assault,Total contact crime,Common assault,679,01/01/2023,Total contact crime,ROODEPOORT
Springs,Common assault,Total contact crime,Common assault,556,01/01/2023,Total contact crime,SPRINGS
Pretoria Central,Common assault,Total contact crime,Common assault,481,01/01/2023,Total contact crime,PRETORIA CENTRAL
Jabulani,Common assault,Total contact crime,Common assault,538,01/01/2023,Total contact crime,JABULANI
Rabie Ridge,Common assault,Total contact crime,Common assault,422,01/01/2023,Total contact crime,RABIE RIDGE
Pretoria West,Common assault,Total contact crime,Common assault,458,01/01/2023,Total contact crime,PRETORIA WEST
Sandton,Common assault,Total contact crime,Common assault,389,01/01/2023,Total contact crime,SANDTON
Sophia Town,Common assault,Total contact crime,Common assault,286,01/01/2023,Total contact crime,SOPHIA TOWN
Vereeniging,Common assault,Total contact crime,Common assault,325,01/01/2023,Total contact crime,VEREENIGING
Vanderbijlpark,Common assault,Total contact crime,Common assault,313,01/01/2023,Total contact crime,VANDERBIJLPARK
Sandringham,Common assault,Total contact crime,Common assault,228,01/01/2023,Total contact crime,SANDRINGHAM
Sinoville,Common assault,Total contact crime,Common assault,260,01/01/2023,Total contact crime,SINOVILLE
Wierdabrug,Common assault,Total contact crime,Common assault,245,01/01/2023,Total contact crime,WIERDABRUG
Yeoville,Common assault,Total contact crime,Common assault,236,01/01/2023,Total contact crime,YEOVILLE
Sebokeng,Common assault,Total contact crime,Common assault,259,01/01/2023,Total contact crime,SEBOKENG
Ratanda,Common assault,Total contact crime,Common assault,240,01/01/2023,Total contact crime,RATANDA
Pretoria North,Common assault,Total contact crime,Common assault,238,01/01/2023,Total contact crime,PRETORIA NORTH
Putfontein,Common assault,Total contact crime,Common assault,196,01/01/2023,Total contact crime,PUTFONTEIN
Reigerpark,Common assault,Total contact crime,Common assault,143,01/01/2023,Total contact crime,REIGERPARK
Randburg,Common assault,Total contact crime,Common assault,215,01/01/2023,Total contact crime,RANDBURG
Westonaria,Common assault,Total contact crime,Common assault,172,01/01/2023,Total contact crime,WESTONARIA
Villieria,Common assault,Total contact crime,Common assault,160,01/01/2023,Total contact crime,VILLIERIA
Primrose,Common assault,Total contact crime,Common assault,147,01/01/2023,Total contact crime,PRIMROSE
Sharpeville,Common assault,Total contact crime,Common assault,139,01/01/2023,Total contact crime,SHARPEVILLE
Zonkizizwe,Common assault,Total contact crime,Common assault,116,01/01/2023,Total contact crime,ZONKIZIZWE
Pretoria Moot,Common assault,Total contact crime,Common assault,82,01/01/2023,Total contact crime,PRETORIA MOOT
Wonderboompoort,Common assault,Total contact crime,Common assault,91,01/01/2023,Total contact crime,WONDERBOOMPOORT
Welbekend,Common assault,Total contact crime,Common assault,57,01/01/2023,Total contact crime,WELBEKEND
Sebenza,Common assault,Total contact crime,Common assault,74,01/01/2023,Total contact crime,SEBENZA
Rosebank,Common assault,Total contact crime,Common assault,23,01/01/2023,Total contact crime,ROSEBANK
Wedela,Common assault,Total contact crime,Common assault,17,01/01/2023,Total contact crime,WEDELA
Vaal Marina,Common assault,Total contact crime,Common assault,15,01/01/2023,Total contact crime,VAAL MARINA
Akasia,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,414,01/01/2023,Total contact crime,AKASIA
Mamelodi East,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,296,01/01/2023,Total contact crime,MAMELODI EAST
Booysens,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,395,01/01/2023,Total contact crime,BOOYSENS
Moffatview,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,321,01/01/2023,Total contact crime,MOFFATVIEW
Midrand,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,402,01/01/2023,Total contact crime,MIDRAND
Alexandra,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,244,01/01/2023,Total contact crime,ALEXANDRA
Mondeor,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,334,01/01/2023,Total contact crime,MONDEOR
Moroka,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,334,01/01/2023,Total contact crime,MOROKA
Alberton,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,247,01/01/2023,Total contact crime,ALBERTON
Mabopane,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,319,01/01/2023,Total contact crime,MABOPANE
Atteridgeville,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,217,01/01/2023,Total contact crime,ATTERIDGEVILLE
Bramley,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,319,01/01/2023,Total contact crime,BRAMLEY
Boksburg North,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,236,01/01/2023,Total contact crime,BOKSBURG NORTH
Benoni,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,236,01/01/2023,Total contact crime,BENONI
Bronkhorstspruit,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,168,01/01/2023,Total contact crime,BRONKHORSTSPRUIT
Brakpan,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,201,01/01/2023,Total contact crime,BRAKPAN
Mamelodi,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,116,01/01/2023,Total contact crime,MAMELODI
Bedfordview,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,157,01/01/2023,Total contact crime,BEDFORDVIEW
Brooklyn,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,184,01/01/2023,Total contact crime,BROOKLYN
Lyttelton,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,137,01/01/2023,Total contact crime,LYTTELTON
Boksburg,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,131,01/01/2023,Total contact crime,BOKSBURG
Brixton,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,188,01/01/2023,Total contact crime,BRIXTON
Bekkersdal,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,172,01/01/2023,Total contact crime,BEKKERSDAL
Meadowlands,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,166,01/01/2023,Total contact crime,MEADOWLANDS
Brackendowns,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,67,01/01/2023,Total contact crime,BRACKENDOWNS
Meyerton,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,67,01/01/2023,Total contact crime,MEYERTON
Actonville,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,53,01/01/2023,Total contact crime,ACTONVILLE
Boschkop,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,41,01/01/2023,Total contact crime,BOSCHKOP
Magaliesburg,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,10,01/01/2023,Total contact crime,MAGALIESBURG
Boipatong,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,23,01/01/2023,Total contact crime,BOIPATONG
Honeydew,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,376,01/01/2023,Total contact crime,HONEYDEW
Germiston,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,301,01/01/2023,Total contact crime,GERMISTON
Evaton,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,344,01/01/2023,Total contact crime,EVATON
Eldorado Park,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,245,01/01/2023,Total contact crime,ELDORADO PARK
Cleveland,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,265,01/01/2023,Total contact crime,CLEVELAND
Florida,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,254,01/01/2023,Total contact crime,FLORIDA
Diepsloot,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,139,01/01/2023,Total contact crime,DIEPSLOOT
Douglasdale,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,176,01/01/2023,Total contact crime,DOUGLASDALE
Dobsonville,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,255,01/01/2023,Total contact crime,DOBSONVILLE
Ennerdale,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,187,01/01/2023,Total contact crime,ENNERDALE
Ga-Rankuwa,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,175,01/01/2023,Total contact crime,GA-RANKUWA
Carletonville,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,187,01/01/2023,Total contact crime,CARLETONVILLE
Dawn Park,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,188,01/01/2023,Total contact crime,DAWN PARK
Elsburg,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,176,01/01/2023,Total contact crime,ELSBURG
Edenvale,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,109,01/01/2023,Total contact crime,EDENVALE
Edenpark,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,171,01/01/2023,Total contact crime,EDENPARK
Hillbrow,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,160,01/01/2023,Total contact crime,HILLBROW
Heidelberg (Gp),TRIO Crime,Total contact crime,Robbery with aggravating circumstances,106,01/01/2023,Total contact crime,HEIDELBERG (GP)
De Deur,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,173,01/01/2023,Total contact crime,DE DEUR
Daveyton,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,171,01/01/2023,Total contact crime,DAVEYTON
Etwatwa,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,125,01/01/2023,Total contact crime,ETWATWA
Doornkop,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,131,01/01/2023,Total contact crime,DOORNKOP
Diepkloof,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,205,01/01/2023,Total contact crime,DIEPKLOOF
Garsfontein,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,74,01/01/2023,Total contact crime,GARSFONTEIN
Fochville,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,129,01/01/2023,Total contact crime,FOCHVILLE
Crystalpark,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,118,01/01/2023,Total contact crime,CRYSTALPARK
Hercules,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,118,01/01/2023,Total contact crime,HERCULES
Cullinan,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,96,01/01/2023,Total contact crime,CULLINAN
Duduza,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,91,01/01/2023,Total contact crime,DUDUZA
Erasmia,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,85,01/01/2023,Total contact crime,ERASMIA
Eersterust,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,49,01/01/2023,Total contact crime,EERSTERUST
Hammanskraal,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,84,01/01/2023,Total contact crime,HAMMANSKRAAL
Fairland,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,41,01/01/2023,Total contact crime,FAIRLAND
Dube,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,19,01/01/2023,Total contact crime,DUBE
Ekangala,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,50,01/01/2023,Total contact crime,EKANGALA
Dunnottar,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,13,01/01/2023,Total contact crime,DUNNOTTAR
Hekpoort,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,4,01/01/2023,Total contact crime,HEKPOORT
Devon,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,37,01/01/2023,Total contact crime,DEVON
Cosmo City,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,94,01/01/2023,Total contact crime,COSMO CITY
Sunnyside,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,198,01/01/2023,Total contact crime,SUNNYSIDE
Tarlton,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,45,01/01/2023,Total contact crime,TARLTON
Temba,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,245,01/01/2023,Total contact crime,TEMBA
Tembisa,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,493,01/01/2023,Total contact crime,TEMBISA
Tembisa South,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,156,01/01/2023,Total contact crime,TEMBISA SOUTH
The Barrage,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,18,01/01/2023,Total contact crime,THE BARRAGE
Tokoza,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,66,01/01/2023,Total contact crime,TOKOZA
Tsakane,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,270,01/01/2023,Total contact crime,TSAKANE
Kagiso,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,322,01/01/2023,Total contact crime,KAGISO
Kempton Park,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,347,01/01/2023,Total contact crime,KEMPTON PARK
Jhb Central,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,403,01/01/2023,Total contact crime,JHB CENTRAL
Jeppe,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,409,01/01/2023,Total contact crime,JEPPE
Olievenhoutbosch,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,467,01/01/2023,Total contact crime,OLIEVENHOUTBOSCH
Orange Farms,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,342,01/01/2023,Total contact crime,ORANGE FARMS
Lenasia,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,288,01/01/2023,Total contact crime,LENASIA
Loate,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,227,01/01/2023,Total contact crime,LOATE
Krugersdorp,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,225,01/01/2023,Total contact crime,KRUGERSDORP
Lenasia South,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,241,01/01/2023,Total contact crime,LENASIA SOUTH
Linden,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,120,01/01/2023,Total contact crime,LINDEN
Norkempark,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,220,01/01/2023,Total contact crime,NORKEMPARK
Muldersdrift,TRIO Crime,Total contact crime,Robbery with aggravating circumstances,128,01/01/2023,Total contact crime,MULDERSDRIFT
